image_path,caption_1,caption_2,caption_3,caption_4,caption_5,category
/content/drive/MyDrive/Images/diwali/DIW (18).jpg,Leaving a little sparkle wherever I go. Literally!,"Lights on, it's Diwali time",Desi Vatavaran.,Feeling absolutely lit this Diwali!,My selfie game is just diya-licious today 🪔🤳,diwali
/content/drive/MyDrive/Images/diwali/DIW (48).jpg,Festival season = permission to be extra!,Who needs fireworks when you're already a blast?,Sweets over everything!,"Celebrating love, light, and togetherness!",Rangoli se sajaa ghar ka aangan!,diwali
/content/drive/MyDrive/Images/diwali/DIW (74).jpg,Outfit? Checked. Sweets? Double checked.,May your days be as bright as Diwali mandalas 🟡🔵,Fill your soul with lights,Festive szn✨,Festival flair 🔥💫,diwali
/content/drive/MyDrive/Images/diwali/DIW (49).jpg,Who needs fireworks when you're already a blast?,Card party pro-tip: Don’t lose 💳🏆,The kind of glow no filter can recreate.,Diwali diet? What's that?,Outfit? Checked. Sweets? Double checked.,diwali
/content/drive/MyDrive/Images/diwali/DIW (86).jpg,Obligatory Diwali ’fit pic.,Card party pro-tip: Don’t lose 💳🏆,Deepo Bhava — Be the light.,You have to be in the dark to shine like a firecracker,Diwali glam in full swing 💃💄,diwali
/content/drive/MyDrive/Images/diwali/DIW (93).jpg,"Diwali look, camera shook!",Fireworks? More like food works!,Diwali: the only time of the year when overeating is socially acceptable.,"Warming hearts, one flame at a time 💖🔥",Handloom love woven with passion ❤️🥻,diwali
/content/drive/MyDrive/Images/diwali/DIW (50).jpg,The festival of lights is here!,"Too glam to give a damn, even on Diwali","Simplicity in light, serenity in celebration.",Ready for the mithai overload! Happy Diwali! 🍬,A selfie to light up your diwali feed,diwali
/content/drive/MyDrive/Images/diwali/DIW (79).jpg,The real phuljhadi,Crackers se zyada dhamaka toh hum mein hai!,"Small joys, big celebrations. Happy Diwali! 🎉 #DiwaliCheers",Rangoli is cheaper than therapy 🎨🧘,Diwali nights are brighter than any other.,diwali
/content/drive/MyDrive/Images/diwali/DIW (14).jpg,Prosperity💸✨,Joyful😁🎉,Shining bright this Diwali night,"Celebrating love, light, and togetherness!","Glitz, glam, and all things festive! ✨",diwali
/content/drive/MyDrive/Images/diwali/DIW (7).jpg,Shining brighter than the firecrackers tonight.,Bright🔆👀,"Celebrating Diwali with all its joy, light, and tradition.",Infinite love and light,Diwali tranquility,diwali
/content/drive/MyDrive/Images/diwali/DIW (51).jpg,Dripping in style this Diwali!,Humse zyada bright toh koi rocket bhi nahi!,Got that festive glow on 💁‍♀️💖,Infinity in a flame 🔥∞,Diwali vibes and festive tides,diwali
/content/drive/MyDrive/Images/diwali/DIW (19).jpg,Glow check: Passed.,This outfit deserves its own firecracker 💥 #DiwaliFit,Diwali mode: ON 🎆🌟,"Just like the diyas, my outfit shines bright! 🕯️","Too glam to give a damn, even on Diwali",diwali
/content/drive/MyDrive/Images/diwali/DIW (35).jpg,Spreading light and joy this Diwali! #FestivalOfLights #DiwaliCelebration,Festive lights and sparkling nights,Har roshni ek dua si lagti hai aaj.,Obligatory Diwali ‘fit pic.,Outshine everything this Diwali.,diwali
/content/drive/MyDrive/Images/diwali/DIW (52).jpg,lantern lights up my little worls,"Alexa, play “Firework” by Katy Perry.","This little diya of mine, I'm gonna let it shine 🌟🌞",#Ad (for being this fabulous this Diwali),Happy Dipavali🎇🧨,diwali
/content/drive/MyDrive/Images/diwali/DIW (78).jpg,Shine with gratitude,"Diyas, darlings and dungarees kind of day 🪔👯👖",Bright🔆👀,Love and light always,Handloom love woven with passion ❤️🥻,diwali
/content/drive/MyDrive/Images/diwali/DIW (53).jpg,"Capturing the magic of Diwali, one firework at a time. 🎉💥","Patterns and pastels, Diwali came dressed this year 🎨👘","Outfit ka glow, Diwali ki roshni se kam nahi!",Twinkle,Sending you warm wishes and bright lights this Diwali! 🌟🎆,diwali
/content/drive/MyDrive/Images/diwali/DIW (91).jpg,Diwali rule #1: There’s always room for one more ladoo.,"The simplicity of a diya, the complexity of its light 👌✨","Spice, sweets, and everything festive.",Sweet mode: on.,Beauty in every burst 🎆🖌️,diwali
/content/drive/MyDrive/Images/diwali/DIW (40).jpg,Let the Diwali magic entice your heart and warn your soul.,Rangoli is cheaper than therapy 🎨🧘,Let's spread love and joy this Diwali,Diwali dreamin’,Diwali Aesthetics,diwali
/content/drive/MyDrive/Images/diwali/DIW (54).jpg,Good vibes and Diwali lights,Just a human version of a Diwali cracker: loud and bright!,Why crackers when you’re already a firecracker?,"Wishing you a year ahead filled with prosperity, success, and abundant joy.#Diwali Wishes #NewBeginnings",My outfit is as rich as the Diwali sweets 🎽🍬,diwali
/content/drive/MyDrive/Images/diwali/DIW (80).jpg,Every diya has a flicker of hope 🌈🕯️,Forget the lights; I’m just here for the food! 🥮,Diwali dress code: Fabulous 🌈🔥,"Dressed up, lit up, and ready to sparkle.",Whispers of silk and light 🥻🌟,diwali
/content/drive/MyDrive/Images/diwali/DIW (81).jpg,My Rangoli skills are lit… literally!,Tradition never goes out of style.,So much more than just clay and wick 🧡🎇,Glow getter 🌞💪,diwali dump!!,diwali
/content/drive/MyDrive/Images/diwali/DIW (28).jpg,Life is short; burn bright like a Diwali diya 🔥🍯,Diwali calorie count: ERROR 🤯🍫,Festive,My Diwali sparkle is not just the diyas.,Kurti with a cut of 100% fabulous 🎽😉,diwali
/content/drive/MyDrive/Images/diwali/DIW (4).jpg,Time for sweets and lights,Spiritual vibes and festive tides 🌊🎊,"When in doubt, light a sparkler",Festive,Diwali glow-up: Complete.,diwali
/content/drive/MyDrive/Images/diwali/DIW (6).jpg,"In the glow of a diya, find the magic of Diwali.","If you’re not putting on a full red carpet look for Diwali, then WYED?",Twirl kara diya outfit ne!,Diwali dreams,Dolled up Desi.,diwali
/content/drive/MyDrive/Images/diwali/DIW (55).jpg,Diwali runway ready 🏃‍♀️💃,Light a lamp of joy this Diwali,This outfit deserves its own firecracker 💥 #DiwaliFit,Peace in every flame,Let's spread love and joy this Diwali,diwali
/content/drive/MyDrive/Images/diwali/DIW (37).jpg,Diwali diet? What's that?,Har roshni ek dua si lagti hai aaj.,Diwali vibes: happiness overload!,Ready to dazzle like a firecracker this Diwali!,"Sparkle and shine, it's Diwali time!",diwali
/content/drive/MyDrive/Images/diwali/DIW (10).jpg,May your Diwali sparkle as bright as these fireworks!,Radiant👼💡,"Keeping it classic, lighting it up!","Not a player, I just crush a lot (of ladoos) 🤷‍♂️🍬",Ladoo love 🧡💣,diwali
/content/drive/MyDrive/Images/diwali/DIW (38).jpg,"Savoring the flavors of Diwali, one dish at a time",Bliss,"The simplicity of a diya, the complexity of its light 👌✨",May the festival of lights brighten your days and illuminate your dreams! 🌟🌙,Glow check: Passed.,diwali
/content/drive/MyDrive/Images/diwali/DIW (85).jpg,May your home be filled with joy and your heart be filled with peace this Diwali! 🏠❤️,My Diwali outfit deserves its own festival 👘🏅,Deepavali = Deep + Wali Khushi!,Diwali where calories don't count,Diwali decor is the secret language of joy.,diwali
/content/drive/MyDrive/Images/diwali/DIW (33).jpg,Obligatory Diwali ’fit pic.,"I don’t need filters, I’ve got Diwali glow!",Couture that sings the Diwali chorus 🎶👠,"Dipped in oil, wrapped in light 🛢️🌀","Lamps are lit, and so am I.",diwali
/content/drive/MyDrive/Images/diwali/DIW (22).jpg,"Dressed up, lit up, all Diwali-ed up!",Sparkle and Shine,"Bring on the lights, laughter, and love.",Festive feels!,Diwali nights and city lights,diwali
/content/drive/MyDrive/Images/diwali/DIW (29).jpg,Moments that sparkle,"Shining bright, like the fireworks that light up the night. 🎆✨",Happiness is homemade this Diwali,Glow,Dancing into the Diwali spirit!,diwali
/content/drive/MyDrive/Images/diwali/DIW (56).jpg,"Embracing the festive spirit with open arms. Happy Diwali, everyone! > #Festive Joy #DiwaliGreetings",Let the light within you shine as bright as the Diwali diyas.,Card party pro-tip: Don’t lose 💳🏆,Rangoli ready 🖌️🌈,Spinning yarns of silk and gold 🧶🏅,diwali
/content/drive/MyDrive/Images/diwali/DIW (9).jpg,"Yes, I will eat mithai until I pop; it’s a #Diwali tradition you know!",What I truly enjoy about the festive season is all the fragrance and glowing lights.,Diwali: When my room has more lights than Vegas 🏙️🤩,Diya tales 📖🔥,Fighting evil spirits with my inner sparkle 👻✨,diwali
/content/drive/MyDrive/Images/diwali/DIW (57).jpg,Mithai se meetha ho jaye yeh tyohar!,"Desi attire, festive fire!",Diwali: the only time of the year when overeating is socially acceptable.,Shining brighter than the fireworks tonight,You have to be in the dark to shine like a firecracker,diwali
/content/drive/MyDrive/Images/diwali/DIW (58).jpg,All the stars are here tonight 🌌💫,Sparkles and smiles,"Sweets first, adult later",Shine like a diya this Diwali,Dancing into the Diwali spirit!,diwali
/content/drive/MyDrive/Images/diwali/DIW (59).jpg,Diwali feels. No filter needed.,Illuminating the path to happiness,What I truly enjoy about the festive season is all the fragrance and glowing lights.,Diwali magic is in the air,"As the lamps glow, may your heart sparkle with happiness",diwali
/content/drive/MyDrive/Images/diwali/DIW (96).jpg,Let the Diwali magic entice your heart and warn your soul.,See the world through the eyes of a diya 🌎😌,Diwali decor is the secret language of joy.,Redefining tradition one sequin at a time ✨🔄,Let’s fire up the celebrations!,diwali
/content/drive/MyDrive/Images/diwali/DIW (60).jpg,दिवाली की शाम,Just a human version of a Diwali cracker: loud and bright!,Fighting evil spirits with my inner sparkle 👻✨,Bright🔆👀,Diya tails and fairytales 🐉🕯️,diwali
/content/drive/MyDrive/Images/diwali/DIW (34).jpg,May the diya light lead you in the roadto growth and prosperity,Golden hues and festive views,"Diwali look, camera shook!",Let the light within you shine as bright as the Diwali diyas.,"Lamps are lit, and so am I.",diwali
/content/drive/MyDrive/Images/diwali/DIW (45).jpg,Dream in diya 🛌🪔,"Patakha outside, soan papdi inside 🎆🧈",Swipe for ethnic slay. You’ve been warned.,"Sweets, sparkles, and everything nice 🍬✨",Lamps🏮🔥,diwali
/content/drive/MyDrive/Images/diwali/DIW (61).jpg,Sweets🍬👅,Diwali is in-scent-sational! 🕉️,"Sweets first, adult later","Glitz, glam, and all things festive! ✨",Spiritual vibes and festive tides 🌊🎊,diwali
/content/drive/MyDrive/Images/diwali/DIW (62).jpg,Diwali rule #1: There’s always room for one more ladoo.,Ready to dazzle like a firecracker this Diwali!,Diwali runway ready 🏃‍♀️💃,Diwali is in-scent-sational! 🕉️,The art if illumination,diwali
/content/drive/MyDrive/Images/diwali/DIW (39).jpg,Professional Diya lighter at your service 🪔👌,Sweets over everything!,Watching the sky come alive with bursts of colour. 💥🧨🎇,Shine like a firecracker.,Diwali where calories don't count,diwali
/content/drive/MyDrive/Images/diwali/DIW (30).jpg,Warmth and light,Fireworks in the heart,Redefining tradition one sequin at a time ✨🔄,Chamak rahi hoon… like a Diwali light 💡,Festival season = permission to be extra!,diwali
/content/drive/MyDrive/Images/diwali/DIW (83).jpg,Feeling festi-‘cool’ this Diwali 🧊🕯️,"Lights on, it's Diwali time","Keeping it classic, lighting it up!",Lit for the Diwali,"If you've got it, flaunt it – diya edition 📸🪔",diwali
/content/drive/MyDrive/Images/diwali/DIW (89).jpg,Spiritual vibes and festive tides 🌊🎊,May your home be filled with joy and your heart be filled with peace this Diwali! 🏠❤️,Prosperity💸✨,Twinkle,kindle your spirit,diwali
/content/drive/MyDrive/Images/diwali/DIW (43).jpg,Diwali vibes and festive tides,Glow,Why crackers when you’re already a firecracker?,So much more than just clay and wick 🧡🎇,Feeling absolutely lit this Diwali!,diwali
/content/drive/MyDrive/Images/diwali/DIW (63).jpg,Joy in every sparkle,Lamps🏮🔥,Diwali dress code: Fabulous 🌈🔥,In a committed relationship with kaju katli.,दिवाली की शाम,diwali
/content/drive/MyDrive/Images/diwali/DIW (21).jpg,Diwali vibes 🕉️✨,"Golden hour, Diwali edition 🌅💛",Sparkling brighter than my bangles 💎💫,"As the lamps glow, may your heart sparkle with happiness",Diwali is in-scent-sational! 🕉️,diwali
/content/drive/MyDrive/Images/diwali/DIW (90).jpg,The power of light,Glowing from the inside out.,Illuminate🕯️💥,Current status: In a relationship with Diwali snacks.,Just a human version of a Diwali cracker: loud and bright!,diwali
/content/drive/MyDrive/Images/diwali/DIW (100).jpg,My selfie game is just diya-licious today 🪔🤳,Sparkling moments and memories that light up our hearts.🎉🎆,Golden hues and festive views,Here’s to a sparkling Diwali full of joy!,Life is short; burn bright like a Diwali diya 🔥🍯,diwali
/content/drive/MyDrive/Images/diwali/DIW (99).jpg,Feeling festi-‘cool’ this Diwali 🧊🕯️,Peace🕊️💜,Wishing you a colorful and joyful Diwali!,Just a humble diya lighting up the 'gram 🪔🌐,"In the flicker of a diya, find joy and peace.",diwali
/content/drive/MyDrive/Images/diwali/DIW (12).jpg,"Desi attire, festive fire!","Prosperity, positivity, and a pocket full of pedhas 🧘‍♂️🍬",Sparkle szn fr,"Embracing the festive spirit with open arms. Happy Diwali, everyone! > #Festive Joy #DiwaliGreetings",Festive glow-up,diwali
/content/drive/MyDrive/Images/diwali/DIW (42).jpg,Let the light within you shine as bright as the Diwali diyas.,My Diwali sparkle is not just the diyas.,"Shine brighter, it's Diwali time",Ethnic chic for the Diwali flick!,Festival flair 🔥💫,diwali
/content/drive/MyDrive/Images/diwali/DIW (88).jpg,"Embracing the festive spirit with open arms. Happy Diwali, everyone! > #Festive Joy #DiwaliGreetings",Ignite the spirit,Burn all your bad times and enter the good ones – Have a happy Diwali!,Fill your soul with lights,Sweets over everything!,diwali
/content/drive/MyDrive/Images/diwali/DIW (32).jpg,"In the flicker of a diya, find joy and peace.","As the lamps glow, may your heart sparkle with happiness",May your days be as bright as Diwali mandalas 🟡🔵,Diya tales 📖🔥,Illuminate🕯️💥,diwali
/content/drive/MyDrive/Images/diwali/DIW (84).jpg,Roshni vibes only!,Diwali ka asli thrill = rocket ka random udna 🎆,Wishing you a Diwali full of laughter,"Diwali pro tip: If you can’t decide what to wear, just wrap yourself in fairy lights! ✨👗",Let’s fire up the celebrations!,diwali
/content/drive/MyDrive/Images/diwali/DIW (44).jpg,"Lamps are lit, so I am.",Roshni vibes only!,Diwali calorie count: ERROR 🤯🍫,Just a human version of a Diwali cracker: loud and bright!,Shine with gratitude,diwali
/content/drive/MyDrive/Images/diwali/DIW (17).jpg,Festival flair 🔥💫,Colours of happiness. Colours of unity. Colours of Diwali.,Diyas: Because fairy lights are so mainstream 🧚‍♀️🪔,only diwali can fix me now,Will werk for sweets 💪🍭,diwali
/content/drive/MyDrive/Images/diwali/DIW (5).jpg,Diwali nights are magical,In the glow of togetherness,Dolled up Desi.,Poetry in diyas 📜🕯️,May your Diwali sparkle as bright as these fireworks!,diwali
/content/drive/MyDrive/Images/diwali/DIW (64).jpg,Shining like it's Diwali,Desi aesthetic vibes,Obligatory Diwali ‘fit pic.,Golden hues and festive views,Lamps🏮🔥,diwali
/content/drive/MyDrive/Images/diwali/DIW (23).jpg,Wishing you a bright Diwali!,Diwali glow-up: Complete.,Rangoli ready 🖌️🌈,Diwali ka asli thrill = rocket ka random udna 🎆,"But first, let's conquer this Kaju Katli 👑🥮",diwali
/content/drive/MyDrive/Images/diwali/DIW (15).jpg,Diwali nights are the best nights,"Outfit ka glow, Diwali ki roshni se kam nahi!",Swipe for ethnic slay. You’ve been warned.,"Firecracker bhi sharma jaaye, itni bright hoon!",diwali dump!!,diwali
/content/drive/MyDrive/Images/diwali/DIW (92).jpg,"This little diya of mine, I'm gonna let it shine 🌟🌞","Dressed up, lit up, all Diwali-ed up!",Calories don’t count during Diwali. That’s the law.,Diwali rule #1: There’s always room for one more ladoo.,Kurti with a cut of 100% fabulous 🎽😉,diwali
/content/drive/MyDrive/Images/diwali/DIW (11).jpg,Time for sweets and lights,Tradition🎎🔖,Sweet-tooth fairy reporting for duty 🧚🍬,Sparkling moments and memories that light up our hearts.🎉🎆,Too cool for diyas?,diwali
/content/drive/MyDrive/Images/diwali/DIW (20).jpg,Sweets🍬👅,Dressed in lights from head to toe 🤩👟,"Too glam to give a damn, even on Diwali",Joyful hearts and shining lights,kindle your spirit,diwali
/content/drive/MyDrive/Images/diwali/DIW (24).jpg,"Just here for the ladoos, tbh.","Simple diya, sophisticated shadows 🖤🕯️",Flickering happiness,"Keep calm and curry on, it's Diwali! 🍛🚀",Radiance,diwali
/content/drive/MyDrive/Images/diwali/DIW (65).jpg,"Embracing the festive spirit with open arms. Happy Diwali, everyone! > #Festive Joy #DiwaliGreetings","Festival of lights, family of warmth 🔥❤️",Rangoli dreams and Diwali themes 🎨❤️,Me: No more sweets. Also me: finishes box,"Patakha outside, soan papdi inside 🎆🧈",diwali
/content/drive/MyDrive/Images/diwali/DIW (27).jpg,Waking up my taste buds.,Tradition wrapped in modern hues 🎨👗,Eco-friendly and still slaying this Diwali 🌱💅,Diaholic 🕯️😌,My Diwali outfit deserves its own festival 👘🏅,diwali
/content/drive/MyDrive/Images/diwali/DIW (76).jpg,Diwali dreamin’,Kurti with a cut of 100% fabulous 🎽😉,Let’s fire up the celebrations!,Diwali dreams,"Wishing you a Diwali filled with sweets, joy, and endless blessings! 🎉🍬",diwali
/content/drive/MyDrive/Images/diwali/DIW (66).jpg,A balanced diet in Diwali means a ladoo in each hand.,Happiness is homemade this Diwali,Diwali 2k[],Diwali where calories don't count,Diaholic 🕯️😌,diwali
/content/drive/MyDrive/Images/diwali/DIW (36).jpg,"Keep calm and curry on, it's Diwali! 🍛🚀","If Diwali's loud, my outfit's louder 📢🥻",Silent prayers among the noise 🙏🔊,"Family, friends, and fireworks",Culture pop 🛕🍾,diwali
/content/drive/MyDrive/Images/diwali/DIW (82).jpg,Decking out Diwali style 🏮👗,"Sweets first, adult later",Sparkle and Shine,let the light lead you,"I’m no artist. But, when it comes to designing rangolis, I’m the best.",diwali
/content/drive/MyDrive/Images/diwali/DIW (94).jpg,Festive finesse and elegance 🎀🥂,Celebrating with light,Sweet moments 🍭💌,"Rangoli, lights, and laughter - it's Diwali time! #DiwaliVibes #FestiveFun",Feeling festi-‘cool’ this Diwali 🧊🕯️,diwali
/content/drive/MyDrive/Images/diwali/DIW (8).jpg,Too cool for diyas?,"This Diwali, may your life be as sweet as a “ladoos”!",Ethnic chic for the Diwali flick!,Festival flair 🔥💫,"Keep calm and curry on, it's Diwali! 🍛🚀",diwali
/content/drive/MyDrive/Images/diwali/DIW (97).jpg,Capturing the Diwali vibe!,Feeling absolutely lit this Diwali!,Bliss,Let the light within you shine as bright as the Diwali diyas.,"When in doubt, add more diyas.",diwali
/content/drive/MyDrive/Images/diwali/DIW (95).jpg,"Rangoli skills: amateur level, enthusiasm: expert level.",Sparkling nights,"Family, friends, and fireworks",let the light lead you,Rangoli's mesmerizing dance 🌈👣,diwali
/content/drive/MyDrive/Images/diwali/DIW (67).jpg,Got that festive glow on 💁‍♀️💖,Current status: In a relationship with Diwali snacks.,Rangoli ready 🖌️🌈,"Prosperity, positivity, and a pocket full of pedhas 🧘‍♂️🍬",Diyas: Because fairy lights are so mainstream 🧚‍♀️🪔,diwali
/content/drive/MyDrive/Images/diwali/DIW (41).jpg,Obligatory Diwali ’fit pic.,Best time of the year,Diya tales 📖🔥,Roshni vibes only!,Lanterns telling tales 🏮📚,diwali
/content/drive/MyDrive/Images/diwali/DIW (13).jpg,Waking up my taste buds.,"Welcome to the Diwali lighting ceremony! Flick the switch, bro 💡🤷‍♂️",Happy Dipavali🎇🧨,"Sweets first, adult later",The art if illumination,diwali
/content/drive/MyDrive/Images/diwali/DIW (16).jpg,Obligatory Diwali ‘fit pic.,A sky full of stars,The beautiful lights that are all of India’s “Sringaar” right now. 💛,All the stars are here tonight 🌌💫,Diwali glow-up: Complete.,diwali
/content/drive/MyDrive/Images/diwali/DIW (68).jpg,Sparkling brighter than my bangles 💎💫,Fireworks of the soul,Joyful,"Gathering with loved ones to celebrate love, light, and laughter. Happy Diwali! 🎊🪔","Sweets, sparkles, and everything nice 🍬✨",diwali
/content/drive/MyDrive/Images/diwali/DIW (69).jpg,Diwali calorie count: ERROR 🤯🍫,Moments that shimmer,Serving traditional realness with a side of sparkle ✨,Redefining tradition one sequin at a time ✨🔄,Diwali vibes all around,diwali
/content/drive/MyDrive/Images/diwali/DIW (70).jpg,Giving you diya vibes in high definition 💡🎦,Gratitude,"Let the fireworks light up the night, and your heart light up with joy. #DiwaliVibes",Burst all your crackers of grudges this Diwali,Sweet mode: on.,diwali
/content/drive/MyDrive/Images/diwali/DIW (71).jpg,Just a human version of a Diwali cracker: loud and bright!,be your own pataka,Shine bright like a diya this Diwali,Wishing you a Diwali filled with light and joy!,"Igniting joy, not just diyas",diwali
/content/drive/MyDrive/Images/diwali/DIW (77).jpg,Fill your soul with lights,Diwali tranquility,Waking up my taste buds.,"If you've got it, flaunt it – diya edition 📸🪔","I’m no artist. But, when it comes to designing rangolis, I’m the best.",diwali
/content/drive/MyDrive/Images/diwali/DIW (25).jpg,Glow🎇🧡,Professional Diya lighter at your service 🪔👌,Spinning yarns of silk and gold 🧶🏅,Epic✌️🚀,Lighting up my feed!,diwali
/content/drive/MyDrive/Images/diwali/DIW (98).jpg,Ethnic chic for the Diwali flick!,Infinity in a flame 🔥∞,Blessings from Maa Lakshmi.,Festive szn✨,Diwali where calories don't count,diwali
/content/drive/MyDrive/Images/diwali/DIW (72).jpg,"Sparks, sweets, and endless smiles. #HappyDiwali",Diwali runway ready 🏃‍♀️💃,Let’s celebrate the triumph of light over darkness!,Diwali happiness fills the air!,Crackers se zyada dhamaka toh hum mein hai!,diwali
/content/drive/MyDrive/Images/diwali/DIW (26).jpg,"Diwali diet plan: Eat all the sweets, blame it on the festive spirit! 🍬🍰",Roshni vibes only!,A balanced diet is a ladoo in each hand.,Diwali runway ready 🏃‍♀️💃,"Wishing you a Diwali filled with sweets, joy, and endless blessings! 🎉🍬",diwali
/content/drive/MyDrive/Images/diwali/DIW (2).jpg,Festive feels and traditional thrills,Wishing you a Diwali filled with light and joy!,Magic👑🐰,"Small joys, big celebrations. Happy Diwali! 🎉 #DiwaliCheers","Sparks, sweets, and endless smiles. #HappyDiwali",diwali
/content/drive/MyDrive/Images/diwali/DIW (1).jpg,Sparkling brighter than my bangles 💎💫,Bringing sparkle to every corner,Less bitter. More glitter.,Tradition wrapped in modern hues 🎨👗,Moments that sparkle,diwali
/content/drive/MyDrive/Images/diwali/DIW (3).jpg,Diaholic 🕯️😌,"Not a player, I just crush a lot (of ladoos) 🤷‍♂️🍬",Diwali calorie count: ERROR 🤯🍫,Radiance,My selfie game is just diya-licious today 🪔🤳,diwali
/content/drive/MyDrive/Images/Dogs/e71e4a4aec54a7a15106054d5585ebf6.jpg,Can’t have a ruff day with this face.,"Cold nose, warm heart, loyal soul.",Just a little fluffball of love.,Kissed by a dog = blessed.,Just a dog living their best leash-free fantasy.,Dogs
/content/drive/MyDrive/Images/Dogs/7d6792fb6732a0ca5b6af38d20e2587b.jpg,All snuggled up and no place to go.,Mood: belly rubs and tail wags.,"Snuggle hard, play harder.",Pawfection in motion.,Our bond is fur real.,Dogs
/content/drive/MyDrive/Images/Dogs/dde54450ca833a10d5098c3e3f5688d9.jpg,Kissed by a dog = blessed.,Fur-iendship goals.,My dog is my sunshine on a cloudy day.,All ears for walkies.,"Furry friend, forever love.",Dogs
/content/drive/MyDrive/Images/Dogs/c24b03aeff45ec9aa888b685c90fc31c.jpg,"Stay wild, my pup.",Just call me Doggo Daddy.,"Loyal, loud, and lovable.","Sniff first, ask questions later.",We woof together.,Dogs
/content/drive/MyDrive/Images/Dogs/d52221af994e0cd09d8dd062e138a919.jpg,Barking with joy every day.,"All bark, all charm.","Full belly, full heart.","Eat, sleep, bark, repeat.",Keep calm and wag on.,Dogs
/content/drive/MyDrive/Images/Dogs/4cef840453199684c2dc399c6addd375.jpg,Loving you is as easy as chasing a squirrel.,Certified belly rub specialist.,My dog is my shadow.,Life’s better in paw-jamas.,Fluff happens.,Dogs
/content/drive/MyDrive/Images/Dogs/30dd546bfa2e8984ef90504f17859575.jpg,"My dog, my adventure buddy.",Pupperazzi ready.,Be the person your dog thinks you are.,Woofing into the weekend.,Some angels have paws.,Dogs
/content/drive/MyDrive/Images/Dogs/a10f73f3106e5374f419e3c28b7c7496.jpg,The bark side is strong.,"If lost, return to my dog.",Dogs make hearts whole.,My dog's companionship is my joy.,Off-leash and off-duty.,Dogs
/content/drive/MyDrive/Images/Dogs/309304e46179423cb7a7af9b61dd47f7.jpg,Pawsitively adorable moments.,Who rescued who?,"Smol bean, big heart.","Long walks, longer naps.","Full belly, full heart.",Dogs
/content/drive/MyDrive/Images/Dogs/e48219ee171480728a3a4877ebe66ad5.jpg,This dog’s got me wrapped.,Trust issues? Not with this tail wag.,My fur-mily.,"Paws off, hooman!",The cutest therapist has fur and four legs.,Dogs
/content/drive/MyDrive/Images/Dogs/96753dd25e172a42d3c0263cc5ce83d0.jpg,My hero wears fur.,Caution: spoiled dog ahead.,My dog's love is my safe haven.,Licks speak louder than words.,"Big personality, tiny paws.",Dogs
/content/drive/MyDrive/Images/Dogs/f6391799c6cbdb30b8b01bab502973d1.jpg,The leash is just a suggestion.,Treat dispenser located here.,The cutest roommate ever.,Can’t paws the love.,This dog owns my soul.,Dogs
/content/drive/MyDrive/Images/Dogs/b48c4f2fee4b36a37a58df6346b592f0.jpg,Just sniffing the flowers (and everything else).,My shadow barks.,"All fur, no flaws.",Can’t resist those puppy dog eyes.,Every tail has a story.,Dogs
/content/drive/MyDrive/Images/Dogs/8e7ebbd27a55eba9968e9558452a9eec.jpg,"If I fits, I zoom.","Pet me, human.",Hearts wrapped in fur.,The goodest boy/girl.,Some angels have paws.,Dogs
/content/drive/MyDrive/Images/Dogs/ef350521cc3ae54bf2d4e7ab70f7fe8a.jpg,"Sometimes my dog walks me emotionally, too.",Dogs make hearts whole.,Tail wags and happy dances.,Pawsitively perfect moments.,This leash means freedom.,Dogs
/content/drive/MyDrive/Images/Dogs/4084780614a0308288f32ed6002f82af.jpg,I herd you like dog pics.,"Live, bark, love.",The leash is just a suggestion.,Some angels have paws.,Just sniffing the flowers (and everything else).,Dogs
/content/drive/MyDrive/Images/Dogs/e5b0ad16bfa356f4baaf607e3d4da2d7.jpg,Just sniffin' through life.,Drool is just love you can’t wipe away.,Heart stolen by a tail-wagger.,Running on puppy kisses.,Tail wags and shared adventures.,Dogs
/content/drive/MyDrive/Images/Dogs/66dda338e28d18e81c661e07dbb00a61.jpg,Dogs make everything better.,Stay pawsitive.,Happiness is a warm puppy.,Mutt love.,Walkies > everything.,Dogs
/content/drive/MyDrive/Images/Dogs/4141dc4f2452d74420c598a44631d331.jpg,No shoes? No leash? No problem.,Built for cuddles and chaos.,Pawsitively the best support system.,"Life's ruff, but dogs make it better.",Life’s too short to not throw the ball.,Dogs
/content/drive/MyDrive/Images/Dogs/45f93f25d271b568b60dc4214379144d.jpg,"Eat, sleep, bark, repeat.",My dog completes my world.,This is my resting bark face.,Bork squad assemble!,Sidekick with a snout.,Dogs
/content/drive/MyDrive/Images/Dogs/b3609c77f78fb3b91668a8d505ee931b.jpg,"All fur, no flaws.","Stay wild, my pup.",Loving you is as easy as chasing a squirrel.,Pup patrol on duty.,Certified good boy.,Dogs
/content/drive/MyDrive/Images/Dogs/449b746322ac5182032a357135005860.jpg,Trust issues? Not with this tail wag.,I dream in tail wags.,"My pup, my peace.","Ruff life, but someone’s gotta live it.",Just me and my best fur-iend.,Dogs
/content/drive/MyDrive/Images/Dogs/2f1ea7d5af5b0cae19ff7695667b92b9.jpg,"You can’t buy happiness, but you can rescue it.",K-9 and feeling fine.,My fur-iend is better than yours.,"More wiggles, less worries.",My dog's love is unconditional.,Dogs
